Date,Dive,Site,Site_Depth_m,Transect,Taxa,Intercept,Rugosity,Cover
5/13/2023,1,Honaunau_1,6,K1,Carbonate,18,,18
5/13/2023,1,Honaunau_1,6,K1,Porites lobata,35,,17
5/13/2023,1,Honaunau_1,6,K1,Carbonate,41,,6
5/13/2023,1,Honaunau_1,6,K1,Porites lobata,76,,35
5/13/2023,1,Honaunau_1,6,K1,Carbonate,95,,19
5/13/2023,1,Honaunau_1,6,K1,Porites lobata,114,,19
5/13/2023,1,Honaunau_1,6,K1,Carbonate,340,340,226
5/13/2023,1,Honaunau_1,6,L1,Carbonate,201,,201
5/13/2023,1,Honaunau_1,6,L1,Porites lobata,242,,41
5/13/2023,1,Honaunau_1,6,L1,Carbonate,245,,3
5/13/2023,1,Honaunau_1,6,L1,Porites lobata,295,295,50
5/13/2023,1,Honaunau_1,6,K2,Carbonate,105,,105
5/13/2023,1,Honaunau_1,6,K2,Porites lobata,110,,5
5/13/2023,1,Honaunau_1,6,K2,Carbonate,126,,16
5/13/2023,1,Honaunau_1,6,K2,Porites lobata,131,,5
5/13/2023,1,Honaunau_1,6,K2,Carbonate,135,,4
5/13/2023,1,Honaunau_1,6,K2,Porites lobata,142,,7
5/13/2023,1,Honaunau_1,6,K2,Carbonate,151,,9
5/13/2023,1,Honaunau_1,6,K2,Porites lobata,162,,11
5/13/2023,1,Honaunau_1,6,K2,Carbonate,185,,23
5/13/2023,1,Honaunau_1,6,K2,Porites compressa,189,,4
5/13/2023,1,Honaunau_1,6,K2,Carbonate,220,,31
5/13/2023,1,Honaunau_1,6,K2,Porites lobata,225,,5
5/13/2023,1,Honaunau_1,6,K2,Carbonate,251,,26
5/13/2023,1,Honaunau_1,6,K2,Pavona varians,255,,4
5/13/2023,1,Honaunau_1,6,K2,Carbonate,275,,20
5/13/2023,1,Honaunau_1,6,K2,Pavona varians,279,,4
5/13/2023,1,Honaunau_1,6,K2,Carbonate,285,,6
5/13/2023,1,Honaunau_1,6,K2,Pavona varians,307,,22
5/13/2023,1,Honaunau_1,6,K2,Carbonate,320,320,13
5/13/2023,1,Honaunau_1,6,L2,Carbonate,121,,121
5/13/2023,1,Honaunau_1,6,L2,Porites lobata,124,,3
5/13/2023,1,Honaunau_1,6,L2,Carbonate,188,,64
5/13/2023,1,Honaunau_1,6,L2,Pavona varians,192,,4
5/13/2023,1,Honaunau_1,6,L2,Carbonate,210,,18
5/13/2023,1,Honaunau_1,6,L2,Porites lobata,219,,9
5/13/2023,1,Honaunau_1,6,L2,Carbonate,225,,6
5/13/2023,1,Honaunau_1,6,L2,Montipora flabellata,235,,10
5/13/2023,1,Honaunau_1,6,L2,Carbonate,291,,56
5/13/2023,1,Honaunau_1,6,L2,Porites lobata,301,,10
5/13/2023,1,Honaunau_1,6,L2,Carbonate,310,310,9
5/13/2023,1,Honaunau_1,6,L3,Carbonate,21,,21
5/13/2023,1,Honaunau_1,6,L3,Porites lobata,35,,14
5/13/2023,1,Honaunau_1,6,L3,Carbonate,42,,7
5/13/2023,1,Honaunau_1,6,L3,Porites lobata,54,,12
5/13/2023,1,Honaunau_1,6,L3,Carbonate,66,,12
5/13/2023,1,Honaunau_1,6,L3,Sand,113,,47
5/13/2023,1,Honaunau_1,6,L3,Carbonate,295,,182
5/13/2023,1,Honaunau_1,6,L3,Porites lobata,305,,10
5/13/2023,1,Honaunau_1,6,L3,Carbonate,310,,5
5/13/2023,1,Honaunau_1,6,L3,Porites compressa,330,330,20
5/13/2023,1,Honaunau_1,6,K3,Carbonate,25,,25
5/13/2023,1,Honaunau_1,6,K3,Porites lobata,41,,16
5/13/2023,1,Honaunau_1,6,K3,Carbonate,52,,11
5/13/2023,1,Honaunau_1,6,K3,Porites lobata,61,,9
5/13/2023,1,Honaunau_1,6,K3,Carbonate,85,,24
5/13/2023,1,Honaunau_1,6,K3,Pavona varians,95,,10
5/13/2023,1,Honaunau_1,6,K3,Porites lobata,98,,3
5/13/2023,1,Honaunau_1,6,K3,Carbonate,171,,73
5/13/2023,1,Honaunau_1,6,K3,Porites compressa,175,,4
5/13/2023,1,Honaunau_1,6,K3,Carbonate,182,,7
5/13/2023,1,Honaunau_1,6,K3,Porites compressa,215,,33
5/13/2023,1,Honaunau_1,6,K3,Carbonate,225,,10
5/13/2023,1,Honaunau_1,6,K3,Porites compressa,235,,10
5/13/2023,1,Honaunau_1,6,K3,Carbonate,251,,16
5/13/2023,1,Honaunau_1,6,K3,Porites compressa,257,,6
5/13/2023,1,Honaunau_1,6,K3,Carbonate,280,280,23
5/13/2023,1,Honaunau_1,6,L4,Porites lobata,15,,15
5/13/2023,1,Honaunau_1,6,L4,Carbonate,55,,40
5/13/2023,1,Honaunau_1,6,L4,Pavona varians,64,,9
5/13/2023,1,Honaunau_1,6,L4,Carbonate,112,,48
5/13/2023,1,Honaunau_1,6,L4,Porites compressa,122,,10
5/13/2023,1,Honaunau_1,6,L4,Carbonate,143,,21
5/13/2023,1,Honaunau_1,6,L4,Porites compressa,195,,52
5/13/2023,1,Honaunau_1,6,L4,Carbonate,235,235,40
5/13/2023,1,Honaunau_1,6,L5,Porites compressa,19,,19
5/13/2023,1,Honaunau_1,6,L5,Carbonate,22,,3
5/13/2023,1,Honaunau_1,6,L5,Porites lobata,131,,109
5/13/2023,1,Honaunau_1,6,L5,Carbonate,135,,4
5/13/2023,1,Honaunau_1,6,L5,Porites lobata,175,,40
5/13/2023,1,Honaunau_1,6,L5,Carbonate,270,270,95
5/13/2023,1,Honaunau_1,6,K4,Porites compressa,11,,11
5/13/2023,1,Honaunau_1,6,K4,Porites lobata,22,,11
5/13/2023,1,Honaunau_1,6,K4,Carbonate,55,,33
5/13/2023,1,Honaunau_1,6,K4,Porites lobata,155,,100
5/13/2023,1,Honaunau_1,6,K4,Carbonate,162,,7
5/13/2023,1,Honaunau_1,6,K4,Porites lobata,275,275,113
5/13/2023,1,Honaunau_1,6,L6,Carbonate,3,,3
5/13/2023,1,Honaunau_1,6,L6,Porites compressa,11,,8
5/13/2023,1,Honaunau_1,6,L6,Pavona varians,23,,12
5/13/2023,1,Honaunau_1,6,L6,Carbonate,35,,12
5/13/2023,1,Honaunau_1,6,L6,Porites compressa,38,,3
5/13/2023,1,Honaunau_1,6,L6,Carbonate,44,,6
5/13/2023,1,Honaunau_1,6,L6,Porites compressa,51,,7
5/13/2023,1,Honaunau_1,6,L6,Carbonate,54,,3
5/13/2023,1,Honaunau_1,6,L6,Porites lobata,64,,10
5/13/2023,1,Honaunau_1,6,L6,Carbonate,168,,104
