Date,Dive,Site,Site_Depth_m,Transect,Species,Size_cm
5/24/2023,1,Honaunau_1,17,1,Chlorurus spilurus,21
5/24/2023,1,Honaunau_1,17,2,Chlorurus spilurus,14
5/24/2023,1,Honaunau_1,17,3,Scarus psittacus,18
5/24/2023,1,Honaunau_1,17,3,Scarus dubius,17
5/24/2023,1,Honaunau_1,17,3,Chlorurus spilurus,15
5/24/2023,1,Honaunau_1,17,4,n/a,n/a
5/24/2023,1,Honaunau_1,17,5,Scarus psittacus,13
5/24/2023,1,Honaunau_1,17,6,Chlorurus spilurus,31
5/24/2023,1,Honaunau_1,17,6,Chlorurus spilurus,16
5/24/2023,1,Honaunau_1,9,1,n/a,n/a
5/24/2023,1,Honaunau_1,9,2,n/a,n/a
5/24/2023,1,Honaunau_1,9,3,Chlorurus spilurus,8
5/24/2023,1,Honaunau_1,9,3,Chlorurus spilurus,9
5/24/2023,1,Honaunau_1,9,3,Chlorurus spilurus,9
5/24/2023,1,Honaunau_1,9,3,Chlorurus spilurus,8
5/24/2023,1,Honaunau_1,9,3,Chlorurus spilurus,23
5/24/2023,1,Honaunau_1,9,4,n/a,n/a
5/24/2023,1,Honaunau_1,9,5,Chlorurus spilurus,10
5/24/2023,1,Honaunau_1,9,5,Chlorurus spilurus,6
5/24/2023,1,Honaunau_1,9,5,Chlorurus spilurus,7
5/24/2023,1,Honaunau_1,9,5,Chlorurus spilurus,9
5/24/2023,1,Honaunau_1,9,5,Chlorurus spilurus,9
5/24/2023,1,Honaunau_1,9,5,Chlorurus spilurus,7
5/24/2023,1,Honaunau_1,9,5,Chlorurus spilurus,8
5/24/2023,1,Honaunau_1,9,6,Chlorurus spilurus,20
5/24/2023,1,Honaunau_1,9,6,Chlorurus spilurus,16
5/24/2023,1,Honaunau_1,9,6,Chlorurus spilurus,13
5/24/2023,2,Honaunau_2,17,1,Calotomus carolinus,15
5/24/2023,2,Honaunau_2,17,1,Calotomus carolinus,14
5/24/2023,2,Honaunau_2,17,2,Calotomus carolinus,13
5/24/2023,2,Honaunau_2,17,2,Chlorurus spilurus,16
5/24/2023,2,Honaunau_2,17,2,Calotomus carolinus,13
5/24/2023,2,Honaunau_2,17,2,Calotomus carolinus,14
5/24/2023,2,Honaunau_2,17,2,Chlorurus spilurus,15
5/24/2023,2,Honaunau_2,17,3,n/a,n/a
5/24/2023,2,Honaunau_2,17,4,n/a,n/a
5/24/2023,2,Honaunau_2,17,5,Calotomus carolinus,15
5/24/2023,2,Honaunau_2,17,5,Chlorurus spilurus,33
5/24/2023,2,Honaunau_2,17,5,Chlorurus spilurus,24
5/24/2023,2,Honaunau_2,17,5,Chlorurus spilurus,16
5/24/2023,2,Honaunau_2,17,5,Chlorurus spilurus,16
5/24/2023,2,Honaunau_2,17,5,Chlorurus spilurus,14
5/24/2023,2,Honaunau_2,17,5,Chlorurus spilurus,16
5/24/2023,2,Honaunau_2,17,6,Chlorurus spilurus,31
5/24/2023,2,Honaunau_2,9,1,Scarus rubroviolaceus,45
5/24/2023,2,Honaunau_2,9,2,Chlorurus spilurus,20
5/24/2023,2,Honaunau_2,9,2,Chlorurus spilurus,15
5/24/2023,2,Honaunau_2,9,3,Chlorurus spilurus,17
5/24/2023,2,Honaunau_2,9,3,Chlorurus spilurus,15
5/24/2023,2,Honaunau_2,9,3,Chlorurus spilurus,15
5/24/2023,2,Honaunau_2,9,3,Chlorurus spilurus,14
5/24/2023,2,Honaunau_2,9,4,Chlorurus spilurus,20
5/24/2023,2,Honaunau_2,9,4,Chlorurus spilurus,18
5/24/2023,2,Honaunau_2,9,5,Chlorurus spilurus,14
5/24/2023,2,Honaunau_2,9,6,Chlorurus spilurus,29
5/24/2023,3,Honaunau_2,6,1,Chlorurus spilurus,32
5/24/2023,3,Honaunau_2,6,1,Chlorurus spilurus,16
5/24/2023,3,Honaunau_2,6,1,Chlorurus spilurus,15
5/24/2023,3,Honaunau_2,6,1,Chlorurus spilurus,16
5/24/2023,3,Honaunau_2,6,2,Chlorurus spilurus,13
5/24/2023,3,Honaunau_2,6,2,Chlorurus spilurus,17
5/24/2023,3,Honaunau_2,6,2,Scarus rubroviolaceus,40
5/24/2023,3,Honaunau_2,6,2,Chlorurus spilurus,19
5/24/2023,3,Honaunau_2,6,2,Chlorurus spilurus,16
5/24/2023,3,Honaunau_2,6,3,Chlorurus spilurus,21
5/24/2023,3,Honaunau_2,6,3,Chlorurus spilurus,15
5/24/2023,3,Honaunau_2,6,4,Chlorurus spilurus,30
5/24/2023,3,Honaunau_2,6,4,Chlorurus spilurus,15
5/24/2023,3,Honaunau_2,6,4,Chlorurus spilurus,18
5/24/2023,3,Honaunau_2,6,4,Chlorurus spilurus,10
5/24/2023,3,Honaunau_2,6,4,Chlorurus spilurus,10
5/24/2023,3,Honaunau_2,6,4,Scarus dubius,12
5/24/2023,3,Honaunau_2,6,4,Chlorurus spilurus,17
5/24/2023,3,Honaunau_2,6,4,Chlorurus spilurus,13
5/24/2023,3,Honaunau_2,6,5,Scarus rubroviolaceus,36
5/24/2023,3,Honaunau_2,6,5,Chlorurus spilurus,22
5/24/2023,3,Honaunau_2,6,6,Chlorurus spilurus,17
5/24/2023,3,Honaunau_2,6,6,Chlorurus spilurus,16
5/24/2023,3,Honaunau_2,6,6,Chlorurus spilurus,21
5/24/2023,3,Honaunau_2,3,1,Chlorurus spilurus,31
5/24/2023,3,Honaunau_2,3,2,n/a,n/a
5/24/2023,3,Honaunau_2,3,3,n/a,n/a
5/24/2023,3,Honaunau_2,3,4,Chlorurus spilurus,17
5/24/2023,3,Honaunau_2,3,5,Chlorurus spilurus,18
5/24/2023,3,Honaunau_2,3,5,Chlorurus spilurus,15
5/24/2023,3,Honaunau_2,3,5,Chlorurus spilurus,19
5/24/2023,3,Honaunau_2,3,6,n/a,n/a
5/24/2023,3,Honaunau_1,6,1,Scarus dubius,15
5/24/2023,3,Honaunau_1,6,1,Chlorurus spilurus,16
5/24/2023,3,Honaunau_1,6,1,Chlorurus spilurus,15
5/24/2023,3,Honaunau_1,6,2,n/a,n/a
5/24/2023,3,Honaunau_1,6,3,Chlorurus spilurus,17
5/24/2023,3,Honaunau_1,6,4,Chlorurus spilurus,13
5/24/2023,3,Honaunau_1,6,4,Chlorurus spilurus,14
5/24/2023,3,Honaunau_1,6,4,Chlorurus spilurus,16
5/24/2023,3,Honaunau_1,6,4,Scarus rubroviolaceus,28
5/24/2023,3,Honaunau_1,6,4,Chlorurus spilurus,24
5/24/2023,3,Honaunau_1,6,5,Chlorurus spilurus,14
5/24/2023,3,Honaunau_1,6,6,Chlorurus spilurus,16
5/24/2023,3,Honaunau_1,6,6,Chlorurus spilurus,12
5/24/2023,3,Honaunau_1,6,6,Scarus rubroviolaceus,30
5/24/2023,3,Honaunau_1,3,1,Chlorurus spilurus,22
5/24/2023,3,Honaunau_1,3,2,Chlorurus spilurus,14
5/24/2023,3,Honaunau_1,3,3,n/a,n/a
5/24/2023,3,Honaunau_1,3,4,Scarus dubius,14
5/24/2023,3,Honaunau_1,3,4,Chlorurus spilurus,16
5/24/2023,3,Honaunau_1,3,5,Chlorurus spilurus,17
5/24/2023,3,Honaunau_1,3,5,Scarus dubius,13
5/24/2023,3,Honaunau_1,3,5,Chlorurus spilurus,15
5/24/2023,3,Honaunau_1,3,5,Chlorurus spilurus,16
5/24/2023,3,Honaunau_1,3,6,n/a,n/a
5/25/2023,Snorkel,Honaunau_2,2,1,Scarus rubroviolaceus,35
