Date,Dive,Site,Site_Depth_m,Quadrat,Quadrat_Depth_m,Species,Diameter,Notes
5/13/2023,1,Honaunau_1,6,K1,5.8,Echinometra mathaei,3.5,
5/13/2023,1,Honaunau_1,6,K1,5.8,Echinometra mathaei,2.5,
5/13/2023,1,Honaunau_1,6,K1,5.8,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K1,5.8,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K1,5.8,Echinometra mathaei,3.5,
5/13/2023,1,Honaunau_1,6,K1,5.8,Echinometra mathaei,1.5,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinothrix calamaris,11,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,1.5,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,1,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,1.5,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,1.5,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,2.5,
5/13/2023,1,Honaunau_1,6,K2,6.1,Echinometra mathaei,0.5,
5/13/2023,1,Honaunau_1,6,K2,6.1,Heterocentrotus mamillatus,8,
5/13/2023,1,Honaunau_1,6,K2,6.1,Heterocentrotus mamillatus,3.5,
5/13/2023,1,Honaunau_1,6,K2,6.1,Heterocentrotus mamillatus,5,
5/13/2023,1,Honaunau_1,6,K3,5.5,Heterocentrotus mamillatus,4,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,2.5,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,2.5,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,2.5,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,2.5,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3.5,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3.5,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,4,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3.5,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K3,5.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K4,6.2,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K4,6.2,Echinometra mathaei,1.5,
5/13/2023,1,Honaunau_1,6,K5,6.6,Tripneustes gratilla,6,
5/13/2023,1,Honaunau_1,6,K5,6.6,Echinometra mathaei,1,
5/13/2023,1,Honaunau_1,6,K5,6.6,Echinometra mathaei,1,
5/13/2023,1,Honaunau_1,6,K5,6.6,Echinometra mathaei,1.5,
5/13/2023,1,Honaunau_1,6,K5,6.6,Echinometra mathaei,1.5,
5/13/2023,1,Honaunau_1,6,K5,6.6,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K5,6.6,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K5,6.6,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K5,6.6,Echinometra mathaei,3.5,
5/13/2023,1,Honaunau_1,6,K5,6.6,Echinometra mathaei,2.5,
5/13/2023,1,Honaunau_1,6,K6,6.9,Echinometra mathaei,3.5,
5/13/2023,1,Honaunau_1,6,K6,6.9,Echinometra mathaei,1.5,
5/13/2023,1,Honaunau_1,6,K7,6.7,Heterocentrotus mamillatus,5,
5/13/2023,1,Honaunau_1,6,K7,6.7,Heterocentrotus mamillatus,8,
5/13/2023,1,Honaunau_1,6,K7,6.7,Heterocentrotus mamillatus,4.5,
5/13/2023,1,Honaunau_1,6,K7,6.7,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K7,6.7,Echinometra mathaei,2.5,
5/13/2023,1,Honaunau_1,6,K7,6.7,Echinometra mathaei,1.5,
5/13/2023,1,Honaunau_1,6,K7,6.7,Echinostrephus aciculatus,2,
5/13/2023,1,Honaunau_1,6,K8,6.5,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K8,6.5,Echinometra mathaei,2.5,
5/13/2023,1,Honaunau_1,6,K8,6.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K8,6.5,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K8,6.5,Echinometra mathaei,3.5,
5/13/2023,1,Honaunau_1,6,K8,6.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K8,6.5,Echinometra mathaei,2.5,
5/13/2023,1,Honaunau_1,6,K8,6.5,Echinometra mathaei,3,
5/13/2023,1,Honaunau_1,6,K8,6.5,Echinometra mathaei,2,
5/13/2023,1,Honaunau_1,6,K8,6.5,Echinothrix calamaris,5,
5/13/2023,2,Honaunau_1,6,K9,5.7,Heterocentrotus mamillatus,3.5,
5/13/2023,2,Honaunau_1,6,K9,5.7,Heterocentrotus mamillatus,5,
5/13/2023,2,Honaunau_1,6,K9,5.7,Heterocentrotus mamillatus,4,
5/13/2023,2,Honaunau_1,6,K9,5.7,Echinometra mathaei,1,
5/13/2023,2,Honaunau_1,6,K9,5.7,Echinometra mathaei,2,
5/13/2023,2,Honaunau_1,6,K9,5.7,Echinometra mathaei,2.5,
5/13/2023,2,Honaunau_1,6,K9,5.7,Echinometra mathaei,3,
5/13/2023,2,Honaunau_1,6,K9,5.7,Echinometra mathaei,1,
5/13/2023,2,Honaunau_1,6,K9,5.7,Echinometra mathaei,3.5,
5/13/2023,2,Honaunau_1,6,K9,5.7,Echinometra mathaei,3,
